School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
1675,Virginia State School,-27.383844,153.061747,State School,N,,,1678,Sandgate Road,Virginia,4014,Principal,PO Box 64,Northgate,,4013,8,(07) 3621 6222,N,(07) 3621 6200,www.virginiass.eq.edu.au,Prep Year,Year 6,Metropolitan,Lilley,Nudgee,Brisbane (C),1675,Virginia State School,State School,
1676,Laidley District State School,-27.623685,152.395366,State School,N,,,232,Patrick Street,Laidley,4341,Principal,232 Patrick Street,Laidley,,4341,8,(07) 5466 8222,N,(07) 5466 8200,www.laidleydistss.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),1676,Laidley District State School,State School,
1677,Australian Christian College - Moreton,-27.057676,152.95259,Non-State School,N,,,34,Cottrill Road,Caboolture,4510,Principal,Locked Bag 6000,Caboolture BC,,4510,,(07) 5490 6100,,(07) 5490 6191,www.moreton.acc.edu.au,Prep Year,Year 12,North Coast,Longman,Pumicestone,Moreton Bay (R),1677,Australian Christian College - Moreton,Non-State School,
1678,Musgrave Hill State School,-27.959265,153.393796,State School,Y,,,,Nakina Street,Southport,4215,Principal,PO Box 2605,Southport,,4215,9,(07) 5531 3919,N,(07) 5591 5830,www.musghillss.eq.edu.au,Early Childhood,Year 6,South East,Moncrieff,Bonney,Gold Coast (C),1678,Musgrave Hill State School,State School,
1679,Birdsville State School,-25.898441,139.352702,State School,N,,,,Adelaide Street,Birdsville,4482,Principal,Adelaide Street,Birdsville,,4482,5,(07) 4656 3233,Y,(07) 4656 3213,www.birdsvilss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Maranoa,Gregory,Diamantina (S),1679,Birdsville State School,State School,
1689,Balaclava State School,-16.936708,145.744947,State School,N,,,418,Mulgrave Road,Mooroobool,4870,Principal,PO Box 266M,Manunda,,4870,8,(07) 4081 5333,N,(07) 4081 5300,www.balaclavss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Leichhardt,Cairns,Cairns (R),1689,Balaclava State School,State School,
1690,Salisbury State School,-27.553542,153.03214,State School,N,,,19,Cripps Street,Salisbury,4107,Principal,PO Box 2030,Salisbury East,,4107,7,(07) 3717 4888,N,(07) 3717 4800,www.salisburss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),1690,Salisbury State School,State School,
1691,Collinsville State School,-20.548355,147.845687,State School,N,,,,Devlin Street,Collinsville,4804,Principal,PO Box 86,Collinsville,,4804,5,(07) 4785 5338,N,(07) 4785 5359,www.collinsvss.eq.edu.au,Prep Year,Year 6,North Queensland,Capricornia,Burdekin,Whitsunday (R),1691,Collinsville State School,State School,
1693,Caboolture Montessori School,-27.055475,152.939291,Non-State School,N,,,200,Old Gympie Road,Caboolture,4510,Principal,PO Box 1610,Caboolture,,4510,,(07) 5495 5877,N,(07) 5499 3927,www.cms.qld.edu.au,Prep Year,Year 6,North Coast,Longman,Pumicestone,Moreton Bay (R),1693,Caboolture Montessori School,Non-State School,
1699,Calamvale Community College,-27.625696,153.042899,State School,Y,,,11,Hamish Street,Calamvale,4116,Executive Principal,PO Box 1653,Sunnybank Hills,,4109,11,(07) 3712 6333,N,(07) 3712 6300,www.calamvalecomcoll.eq.edu.au,Prep Year,Year 12,Metropolitan,Rankin,Algester,Brisbane (C),1699,Calamvale Community College,State School,
1704,Pozieres State School,-28.524854,151.884767,State School,N,,,,Pozieres School Road,Pozieres,4352,Principal,Pozieres School Road,Pozieres,,4352,5,(07) 4685 3251,N,(07) 4685 3266,www.pozieresss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),1704,Pozieres State School,State School,
1707,Kia-Ora State School,-26.028495,152.777399,State School,N,,,2754,Anderleigh Road,Kia Ora,4570,Principal,MS 316,2754 Anderleigh Road,Kia Ora,4570,5,(07) 5486 5229,N,(07) 5486 5432,www.kiaorass.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),1707,Kia-Ora State School,State School,
1711,Maroochydore State School,-26.652948,153.084579,State School,N,,,56-68,Primary School Court,Maroochydore,4558,Principal,PO Box 572,Maroochydore,,4558,7,(07) 5475 1555,N,(07) 5475 1500,www.maroochyss.eq.edu.au,Early Childhood,Year 6,North Coast,Fairfax,Maroochydore,Sunshine Coast (R),1711,Maroochydore State School,State School,
1712,Peregian Springs State School,-26.500388,153.07212,State School,Y,,,191,The Avenue,Peregian Springs,4573,Principal,191 The Avenue,Peregian Springs,,4573,10,(07) 5351 2222,N,(07) 5471 2699,www.peregianspringsss.eq.edu.au,Prep Year,Year 6,North Coast,Fairfax,Ninderry,Sunshine Coast (R),1712,Peregian Springs State School,State School,
1714,The Summit State School,-28.579002,151.955205,State School,N,,,,Taggart's Road,The Summit,4377,Principal,PO Box 37,The Summit,,4377,5,(07) 4683 2333,N,(07) 4683 2230,www.thesummiss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),1714,The Summit State School,State School,
1719,Amamoor State School,-26.346411,152.67315,State School,N,,,2,Elizabeth Street,Amamoor,4570,Principal,c/- Post Office,Amamoor,,4570,6,(07) 5401 1333,N,,www.amamoorss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),1719,Amamoor State School,State School,
1721,Isabella State School,-17.015655,145.723113,State School,N,,,,Walker Road,Edmonton,4869,Principal,PO Box 874,Edmonton,,4869,9,(07) 4040 8777,N,(07) 4040 8700,www.isabellass.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Mulgrave,Cairns (R),1721,Isabella State School,State School,
1722,Chevallum State School,-26.698439,152.999357,State School,N,,,460,Chevallum Road,Chevallum,4555,Principal,460 Chevallum Road,Chevallum,,4555,8,(07) 5453 2333,N,,www.chevalluss.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Nicklin,Sunshine Coast (R),1722,Chevallum State School,State School,
1723,Injune P-10 State School,-25.846756,148.565118,State School,N,,,,Cnr Hutton Street & Fourth Avenue,Injune,4454,Principal,PO Box 12,Injune,,4454,7,(07) 4626 0222,N,(07) 4626 0200,www.injuness.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Maranoa,Warrego,Maranoa (R),1723,Injune P-10 State School,State School,
1724,Wamuran State School,-27.040783,152.861875,State School,N,,,1066-1086,D'Aguilar Highway,Wamuran,4512,Principal,1066-1086 D'Aguilar Highway,Wamuran,,4512,8,(07) 5429 9444,N,(07) 5429 9400,www.wamuranss.eq.edu.au,Prep Year,Year 6,North Coast,Longman,Glass House,Moreton Bay (R),1724,Wamuran State School,State School,
1725,Narangba Valley State School,-27.173458,152.933087,State School,Y,,,,Creekside Drive,Narangba,4504,Principal,Creekside Drive,Narangba,,4504,11,(07) 3491 1111,N,(07) 3491 1100,www.narangbavalleyss.eq.edu.au,Prep Year,Year 6,North Coast,Longman,Kurwongbah,Moreton Bay (R),1725,Narangba Valley State School,State School,
1726,Forest Lake State High School,-27.62451,152.971524,State High School,Y,,,,High Street,Forest Lake,4078,Principal,PO Box 4063,Forest Lake,,4078,11,(07) 3714 2333,N,(07) 3714 2300,www.forestlakeshs.eq.edu.au,Year 7,Year 12,Metropolitan,Oxley,Inala,Brisbane (C),1726,Forest Lake State High School,State High School,
1730,Bartle Frere State School,-17.444645,145.885217,State School,N,,,29,Price Road,Bartle Frere,4861,Principal,PO Box 62,Miriwinni,,4871,5,(07) 4067 6240,N,(07) 4067 6398,www.bartlefreress.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Hill,Cairns (R),1730,Bartle Frere State School,State School,
1732,Clarendon State School,-27.439886,152.542507,State School,N,,,507,Clarendon Road,Clarendon,4311,Principal,507 Clarendon Road,Clarendon,,4311,6,(07) 5427 8555,N,(07) 5426 2103,www.clarendonss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Lockyer,Somerset (R),1732,Clarendon State School,State School,
1733,Meridan State College,-26.773775,153.102885,State School,Y,,,214,Parklands Boulevard,Meridan Plains,4551,Executive Principal,PO Box 6352,Meridan Plains,,4551,11,(07) 5490 2666,N,(07) 5490 2600,www.meridansc.eq.edu.au,Prep Year,Year 12,North Coast,Fisher,Kawana,Sunshine Coast (R),1733,Meridan State College,State School,
1735,Nobby State School,-27.85243,151.906017,State School,Y,,,4,Davenport Street,Nobby,4360,Principal,4 Davenport Street,Nobby,,4360,5,(07) 4696 3233,N,(07) 4696 3295,www.nobbyss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Condamine,Toowoomba (R),1735,Nobby State School,State School,
1739,Moore Park State School,-24.709673,152.255222,State School,N,,,14,Murdochs Linking Road,Moore Park Beach,4670,Principal,PO Box 7196,Bundaberg North,,4670,7,(07) 4130 6111,N,(07) 4130 6100,www.mooreprkss.eq.edu.au,Prep Year,Year 6,North Coast,Flynn,Burnett,Bundaberg (R),1739,Moore Park State School,State School,
1741,Norfolk Village State School,-27.772999,153.244777,State School,Y,,,83,Halfway Drive,Ormeau,4208,Principal,83 Halfway Drive,Ormeau,,4208,10,(07) 5549 4222,N,(07) 5549 4200,www.norfolkvillagess.eq.edu.au,Prep Year,Year 6,South East,Forde,Coomera,Gold Coast (C),1741,Norfolk Village State School,State School,
1744,Pacific Pines State School,-27.939962,153.320279,State School,N,,,,Santa Isobel Boulevard,Pacific Pines,4211,Principal,PO Box 534,Helensvale,,4212,10,(07) 5502 5333,N,(07) 5502 5300,www.pacificpinesss.eq.edu.au,Prep Year,Year 6,South East,Fadden,Gaven,Gold Coast (C),1744,Pacific Pines State School,State School,
1745,Pacific Pines State High School,-27.943121,153.320612,State High School,N,,,,Archipelago Street,Pacific Pines,4211,Principal,PO Box 380,Helensvale,,4212,11,(07) 5502 5111,N,(07) 5502 5100,www.pacificpinesshs.eq.edu.au,Year 7,Year 12,South East,Fadden,Gaven,Gold Coast (C),1745,Pacific Pines State High School,State High School,
1746,Yarrilee State School,-25.289293,152.80461,State School,Y,,,15,Scrub Hill Road,Urraween,4655,Principal,15 Scrub Hill Road,Urraween,,4655,9,(07) 4197 7111,N,(07) 4197 7100,www.yarrileess.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Maryborough,Fraser Coast (R),1746,Yarrilee State School,State School,
1751,Fairview Heights State School,-27.535058,151.911557,State School,N,,,75,McDougall Street,Wilsonton,4350,Principal,75 McDougall Street,Toowoomba,,4350,9,(07) 4659 2888,N,(07) 4659 2800,www.fairheigss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),1751,Fairview Heights State School,State School,
1752,Gaven State School,-27.919695,153.305156,State School,N,,,,Universal Street,Oxenford,4210,Principal,Universal Street,Oxenford,,4210,9,(07) 5514 7333,N,(07) 5573 7292,www.gavenss.eq.edu.au,Prep Year,Year 6,South East,Wright,Theodore,Gold Coast (C),1752,Gaven State School,State School,
1753,Moreton Downs State School,-27.200106,153.01724,State School,N,,,,Parsons Boulevard,Deception Bay,4508,Principal,Parsons Boulevard,Deception Bay,,4508,10,(07) 3897 2666,N,(07) 3897 2600,www.moredownss.eq.edu.au,Prep Year,Year 6,North Coast,Petrie,Bancroft,Moreton Bay (R),1753,Moreton Downs State School,State School,
1754,Sandy Strait State School,-25.300426,152.875398,State School,N,,,,Robert Street,Urangan,4655,Principal,Robert Street,Urangan,,4655,9,(07) 4197 0333,N,(07) 4197 0300,www.sandstrass.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Hervey Bay,Fraser Coast (R),1754,Sandy Strait State School,State School,
1755,Urandangi State School,-21.601293,138.334658,State School,N,,,,Margaret Street,Piturie,4825,Principal,Pmb 1,Mount Isa,,4825,5,(07) 4748 3101,N,(07) 4748 4920,www.urandangss.eq.edu.au,Early Childhood,Year 6,North Queensland,Kennedy,Gregory,Boulia (S),1755,Urandangi State School,State School,
1758,El Arish State School,-17.807838,146.002651,State School,N,,,28,Chauvel Street,El Arish,4855,Principal,28 Chauvel Street,El Arish,,4855,5,(07) 4068 5176,N,(07) 4068 5319,www.elarishss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Hill,Cassowary Coast (R),1758,El Arish State School,State School,
1759,Varsity College,-28.078149,153.411699,State School,Y,,,198,Varsity Parade,Varsity Lakes,4227,Executive Principal,198 Varsity Parade,Varsity Lakes,,4227,11,(07) 5562 3575,N,(07) 5562 3570,www.varsitycollege.eq.edu.au,Prep Year,Year 12,South East,Mcpherson,Mermaid Beach,Gold Coast (C),1759,Varsity College,State School,
1765,Wynnum West State School,-27.454913,153.154525,State School,N,,,2036,Wynnum Road,Wynnum West,4178,Principal,PO Box 9035,Wynnum Plaza,,4178,8,(07) 3893 6888,N,(07) 3893 6800,www.wynnwestss.eq.edu.au,Prep Year,Year 6,Metropolitan,Bonner,Lytton,Brisbane (C),1765,Wynnum West State School,State School,
1768,Bellenden Ker State School,-17.266693,145.925126,State School,N,,,,Harvey Creek Road,Bellenden Ker,4871,Principal,PO Box 199,Babinda,,4861,5,(07) 4067 5292,N,(07) 4067 5105,www.bellkerss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Hill,Cairns (R),1768,Bellenden Ker State School,State School,
1777,Toobanna State School,-18.712127,146.147882,State School,N,,,,Bruce Highway,Toobanna,4850,Principal,PO Box 327,Ingham,,4850,5,(07) 4777 2124,N,(07) 4777 2121,www.toobannass.eq.edu.au,Prep Year,Year 6,North Queensland,Kennedy,Hinchinbrook,Hinchinbrook (S),1777,Toobanna State School,State School,
1779,Dundula State School,-21.201691,149.148773,State School,N,,,1,Main Street,Bakers Creek,4740,Principal,MSI 1236,Mackay,,4740,5,(07) 4952 8333,N,(07) 4952 8300,www.dundulass.eq.edu.au,Prep Year,Year 6,Central Queensland,Dawson,Mirani,Mackay (R),1779,Dundula State School,State School,
1780,Koumala State School,-21.607081,149.243381,State School,N,,,,Bull Street,Koumala,4738,Principal,c/- Post Office,Koumala,,4738,6,(07) 4949 8111,N,(07) 4949 8100,www.koumalass.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Mirani,Mackay (R),1780,Koumala State School,State School,
1786,Rockville State School,-27.53116,151.936495,State School,N,,,3,Holberton Street,Rockville,4350,Principal,3 Holberton Street,Toowoomba,,4350,7,(07) 4659 2333,N,(07) 4659 2300,www.rockvillss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),1786,Rockville State School,State School,
1789,Churchill State School,-27.642697,152.750604,State School,N,,,,Warwick Road,Churchill,4305,Principal,Warwick Road,Churchill,,4305,8,(07) 3810 4333,N,(07) 3810 4300,www.churchillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich,Ipswich (C),1789,Churchill State School,State School,
1798,Bay View State School,-27.563749,153.261816,State School,N,,,77,Ziegenfusz Road,Thornlands,4164,Principal,77 Ziegenfusz Road,Thornlands,,4164,9,(07) 3206 5222,N,(07) 3206 0511,www.bayviewss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Redlands,Redland (C),1798,Bay View State School,State School,
1802,Toogoolawa School,-27.79736,153.262386,Non-State School,N,,,,"Off Service Road, Pacific Highway",Ormeau,4208,Principal,PO Box 149,Ormeau,,4208,,(07) 5547 5866,,(07) 5546 6099,www.toogoolawa.com.au,Year 2,Year 10,South East,Fadden,Coomera,Gold Coast (C),1802,Toogoolawa School,Non-State School,
1803,Morningside State School,-27.46422,153.066999,State School,N,,,67,Pashen Street,Morningside,4170,Principal,67 Pashen Street,Morningside,,4170,8,(07) 3908 2333,N,(07) 3908 2300,www.morningsss.eq.edu.au,Prep Year,Year 6,Metropolitan,Griffith,Bulimba,Brisbane (C),1803,Morningside State School,State School,
1806,Carmila State School,-21.913583,149.403581,State School,N,,,,Carmila West Road,Carmila,4739,Principal,Carmila West Road,Carmila,,4739,5,(07) 4950 2137,N,(07) 4950 2321,www.carmilass.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Mirani,Isaac (R),1806,Carmila State School,State School,
1809,Julatten State School,-16.607776,145.342147,State School,N,,,1141,Euluma Creek Road,Julatten,4871,Principal,1141 Euluma Creek Road,Julatten,,4871,6,(07) 4094 1130,N,,www.julattenss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Cook,Mareeba (S),1809,Julatten State School,State School,
1812,Freshwater State School,-16.88027,145.714112,State School,N,,,10,Corkill Street,Freshwater,4870,Principal,PO Box 5F,Freshwater,,4870,9,(07) 4058 9222,N,(07) 4058 9200,www.freshwaterss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Leichhardt,Barron River,Cairns (R),1812,Freshwater State School,State School,
1818,Mooloolaba State School,-26.678458,153.113718,State School,Y,,,,Cnr Meta & Douglas Streets,Mooloolaba,4557,Principal,PO Box 225,Mooloolaba,,4557,9,(07) 5457 7222,N,(07) 5457 7200,www.mooloolbss.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Maroochydore,Sunshine Coast (R),1818,Mooloolaba State School,State School,
1822,Biloela State School,-24.398384,150.516145,State School,N,,,48,Rainbow Street,Biloela,4715,Principal,PO Box 395,Biloela,,4715,8,(07) 4992 8888,N,(07) 4992 8800,www.biloelass.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Callide,Banana (S),1822,Biloela State School,State School,
1831,Monto State School,-24.867866,151.118232,State School,N,,,3,Leichhardt Street,Monto,4630,Principal,3 Leichhardt Street,Monto,,4630,6,(07) 4166 9111,N,(07) 4166 9100,www.montoss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Callide,North Burnett (R),1831,Monto State School,State School,
1836,Bundaberg West State School,-24.876259,152.333841,State School,N,,,,George Street,Bundaberg West,4670,Principal,PO Box 4329,Bundaberg South,,4670,8,(07) 4132 8333,N,(07) 4151 6734,www.bundwestss.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Bundaberg,Bundaberg (R),1836,Bundaberg West State School,State School,
1839,Goovigen State School,-24.143232,150.286434,State School,N,,,,Rannes Road,Goovigen,4702,Principal,c/- Post Office,Goovigen,,4702,5,(07) 4996 5191,N,(07) 4996 5108,www.goovigenss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Callide,Banana (S),1839,Goovigen State School,State School,
1840,Thangool State School,-24.491007,150.571643,State School,N,,,2,Aerodrome Road,Thangool,4716,Principal,PO Box 5,Thangool,,4716,6,(07) 4990 0333,N,(07) 4995 8471,www.thangoolss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Callide,Banana (S),1840,Thangool State School,State School,
1844,Wellers Hill State School,-27.525228,153.046321,State School,Y,,,190,Toohey Road,Tarragindi,4121,Principal,190 Toohey Road,Wellers Hill,,4121,10,(07) 3249 1333,N,(07) 3848 0228,www.wellhillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Miller,Brisbane (C),1844,Wellers Hill State School,State School,
1849,Hannaford State School,-27.340412,150.060782,State School,N,,,,Hannaford Road,Hannaford,4406,Principal,c/- Post Office,Hannaford,,4406,5,(07) 4665 9239,N,(07) 4665 9227,www.hannaforss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Warrego,Western Downs (R),1849,Hannaford State School,State School,
1850,The Springfield Anglican College (Springfield - Springfield College Drive),-27.656488,152.907671,Associated Facility,N,,,,Springfield College Drive,Springfield,4300,Head of College,PO Box 4180,Springfield,,4300,,(07) 3818 5777,,(07) 3818 6688,www.tsac.qld.edu.au,Prep Year,Year 6,Metropolitan,Oxley,Jordan,Ipswich (C),5686,The Springfield Anglican College (Year 6 to Year 12),Non-State School,
1853,Slade Point State School,-21.073937,149.214771,State School,N,,,362,Slade Point Road,Slade Point,4740,Principal,PO Box 9150,Slade Point,,4740,7,(07) 4965 7333,N,(07) 4965 7300,www.sladpoinss.eq.edu.au,Prep Year,Year 6,Central Queensland,Dawson,Mackay,Mackay (R),1853,Slade Point State School,State School,
1854,Camp Hill State Infants and Primary School,-27.492941,153.078576,State School,Y,,,676,Old Cleveland Road,Camp Hill,4152,Principal,676 Old Cleveland Road,Camp Hill,,4152,10,(07) 3900 9333,N,(07) 3900 9300,www.camphillipss.eq.edu.au,Prep Year,Year 6,Metropolitan,Griffith,Chatsworth,Brisbane (C),1854,Camp Hill State Infants and Primary School,State School,
1855,Victoria Park State School,-21.147783,149.19399,State School,N,,,15,Goldsmith Street,East Mackay,4740,Principal,PO Box 4024,Mackay South,,4740,9,(07) 4951 6333,N,(07) 4951 6300,www.victparkss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Dawson,Mackay,Mackay (R),1855,Victoria Park State School,State School,
1856,Waterford West State School,-27.691284,153.131546,State School,N,,,,John Street,Waterford West,4133,Principal,P.O. Box 584,Waterford,,4133,9,(07) 3442 0333,N,(07) 3299 7923,www.watewestss.eq.edu.au,Prep Year,Year 6,South East,Forde,Waterford,Logan (C),1856,Waterford West State School,State School,
1858,Hercules Road State School,-27.220966,153.079324,State School,Y,,,,Hercules Road,Kippa-Ring,4021,Principal,Hercules Road,Kippa-Ring,,4021,10,(07) 3897 4333,N,(07) 3897 4300,www.herculesroadss.eq.edu.au,Prep Year,Year 6,North Coast,Petrie,Murrumba,Moreton Bay (R),1858,Hercules Road State School,State School,
1860,Groves Christian College,-27.660937,153.109923,Non-State School,N,,,70,Laughlin Street,Kingston,4114,Principal,PO Box 27,Kingston,,4114,,(07) 3380 5800,,,www.groves.qld.edu.au,Prep Year,Year 12,South East,Rankin,Woodridge,Logan (C),1860,Groves Christian College,Non-State School,
1861,Stanton Lodge Support Unit,-19.272275,146.810515,Support Unit (Other),N,,,36,Boundary Street,Railway Estate,4810,Head of Special Education Services,PO Box 5439 MC,Townsville,,4810,5,(07) 4721 8782,,(07) 4721 8772,www.townsvilleshs.eq.edu.au,Year 8,Year 12,North Queensland,Herbert,Townsville,Townsville (C),2100,Townsville State High School,State High School,
1862,Kirwan State School,-19.299305,146.733378,State School,Y,,,21,Burnda Street,Kirwan,4817,Principal,PO Box 1047,Thuringowa Central,,4817,10,(07) 4799 1888,N,(07) 4773 7702,www.kirwanss.eq.edu.au,Prep Year,Year 6,North Queensland,Herbert,Thuringowa,Townsville (C),1862,Kirwan State School,State School,
1863,Norris Road State School,-27.316658,153.025013,State School,Y,,,28,Greenore Street,Bracken Ridge,4017,Principal,28 Greenore Street,Bracken Ridge,,4017,9,(07) 3261 0777,N,(07) 3261 0700,www.norrroadss.eq.edu.au,Prep Year,Year 6,Metropolitan,Petrie,Sandgate,Brisbane (C),1863,Norris Road State School,State School,
1864,Patricks Road State School,-27.393243,152.934851,State School,N,,,,Patricks Road,Ferny Hills,4055,Principal,Patricks Road,Ferny Hills,,4055,9,(07) 3872 1888,N,(07) 3872 1800,www.patrroadss.eq.edu.au,Prep Year,Year 6,Metropolitan,Dickson,Ferny Grove,Moreton Bay (R),1864,Patricks Road State School,State School,
1865,Riverview State School,-27.603299,152.84694,State School,N,,,131,Old Ipswich Road,Riverview,4303,Principal,131 Old Ipswich Road,Riverview,,4303,7,(07) 3816 6111,N,(07) 3816 6100,www.riverviess.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Bundamba,Ipswich (C),1865,Riverview State School,State School,
1866,Algester State School,-27.615675,153.031915,State School,N,,,19,Endiandra Street,Algester,4115,Principal,PO Box 5121,Algester,,4115,10,(07) 3712 5111,N,(07) 3712 5100,www.algesterss.eq.edu.au,Prep Year,Year 6,Metropolitan,Rankin,Algester,Brisbane (C),1866,Algester State School,State School,
1867,Berrinba East State School,-27.652127,153.097758,State School,N,,,165,Bardon Road,Berrinba,4117,Principal,PO Box 138,Kingston,,4114,9,(07) 3489 6777,N,(07) 3489 6700,www.berrinbaeastss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Woodridge,Logan (C),1867,Berrinba East State School,State School,
1868,Currimundi State School,-26.777613,153.135518,State School,Y,,,17,Buderim Street,Currimundi,4551,Principal,PO Box 159,Caloundra,,4551,9,(07) 5436 6888,N,(07) 5436 6800,www.currimunss.eq.edu.au,Prep Year,Year 6,North Coast,Fisher,Kawana,Sunshine Coast (R),1868,Currimundi State School,State School,
1869,Springwood Central State School,-27.618368,153.130916,State School,N,,,26-34,Dennis Road,Springwood,4127,Principal,PO Box 21,Springwood,,4127,7,(07) 3290 9333,N,(07) 3290 9300,www.spricentss.eq.edu.au,Early Childhood,Year 6,South East,Rankin,Springwood,Logan (C),1869,Springwood Central State School,State School,
1870,Rasmussen State School,-19.3649,146.729243,State School,Y,,,,Allambie Lane,Rasmussen,4815,Principal,PO Box 546,Thuringowa Central,,4817,8,(07) 4789 6333,N,(07) 4789 6300,www.rasmussenss.eq.edu.au,Early Childhood,Year 6,North Queensland,Herbert,Thuringowa,Townsville (C),1870,Rasmussen State School,State School,
1871,Ashmore State School,-27.989147,153.381323,State School,Y,,,,Currumburra Road,Ashmore,4214,Principal,Currumburra Road,Ashmore,,4214,10,(07) 5656 1333,N,(07) 5656 1300,www.ashmoress.eq.edu.au,Prep Year,Year 6,South East,Moncrieff,Southport,Gold Coast (C),1871,Ashmore State School,State School,
1872,Chapel Hill State School,-27.499336,152.944927,State School,Y,,,,Ironbark Road,Chapel Hill,4069,Principal,PO Box 533,Kenmore,,4069,9,(07) 3871 4888,N,(07) 3871 4800,www.chapelhillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),1872,Chapel Hill State School,State School,
1873,Burnside State School,-26.630419,152.947573,State School,N,,,51,Blaxland Road,Burnside,4560,Principal,PO Box 5063,SCMC,Nambour,4560,9,(07) 5441 0888,N,(07) 5441 0800,www.burnsidess.eq.edu.au,Early Childhood,Year 6,North Coast,Fairfax,Nicklin,Sunshine Coast (R),1873,Burnside State School,State School,
1875,Marsden State School,-27.68469,153.104097,State School,N,,,,Hickory Street,Marsden,4132,Principal,Hickory Street,Marsden,,4132,11,(07) 3489 9333,N,,www.marsdenss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Woodridge,Logan (C),1875,Marsden State School,State School,
1876,Eagleby South State School,-27.703689,153.213033,State School,N,,,,Cnr Fryar & River Hills Roads,Eagleby,4207,Principal,Cnr Fryar & River Hills Roads,Eagleby,,4207,8,(07) 3802 9222,N,(07) 3807 0360,www.eaglebysouthss.eq.edu.au,Prep Year,Year 6,South East,Forde,Macalister,Logan (C),1876,Eagleby South State School,State School,
1877,Undurba State School,-27.262762,153.008075,State School,N,,,49-57,Ogg Road,Murrumba Downs,4503,Principal,Ogg Road,Murrumba Downs,,4503,10,(07) 3480 9111,N,(07) 3480 9100,www.undurbass.eq.edu.au,Prep Year,Year 6,North Coast,Dickson,Murrumba,Moreton Bay (R),1877,Undurba State School,State School,
1878,Kruger State School,-27.628942,152.874876,State School,N,,,,Kruger Parade,Bellbird Park,4300,Principal,Kruger Parade,Bellbird Park,,4300,10,(07) 3814 9333,N,(07) 3814 9300,www.krugerss.eq.edu.au,Prep Year,Year 6,Metropolitan,Oxley,Bundamba,Ipswich (C),1878,Kruger State School,State School,
